,text,user_location,location,Lat,Lon
37088,"@SpeakerPelosi Yes yes yes 
#ImpeachmentDay https://t.co/EBEAc5HcCO","South Carolina, USA","South Carolina, United States",33.6874388,-80.4363743
4466,Someone check on Donnie 😂 #ImpeachmentDay,"Austin, TX","Austin, Travis County, Texas, United States",30.2711286,-97.7436995
49924,"RT @thehill: Rep. Maxine Waters: ""[Trump] is capable of starting a civil war."" #impeachmentday https://t.co/MCZ4DkcrUl","Los Angeles, CA","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
52618,The next time someone - from left or right - bemoans the quality of representation we have in @OireachtasNews... pl… https://t.co/KoDTbmzDD5,Dublin and Brussels,"Rue de Dublin - Dublinstraat, Matongé, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, België / Belgique / Belgien",50.8369106,4.3667278
86359,If only the #GOP would have urged #45 to accept that he had lost the election with the same energy that they are ur… https://t.co/tJ3sb4xLUU,In my head,"William Head, Saint Thomas - Saint John District, United States Virgin Islands, United States",18.3441219,-65.0254271
13415,"RT @VoteBluePA: Republicans voting not to impeach out of fear should resign. 

And those voting no because they still support Trump should…","Virginia, USA","Virginia, United States",37.1232245,-78.4927721
9006,"RT @kirkacevedo: IMPEACHED TWICE!

Donald J. Trump has finally made history. It only took 231 years and 275 days.

But he did it...

Donald…","Sydney, New South Wales","Sydney, New South Wales, Australia",-33.8548157,151.2164539
65215,Love @CoriBush. The White-supremacists in chief. Make it plain. #ImpeachmentDay,"Georgia, USA","Georgia, United States",32.3293809,-83.1137366
93176,RT @LarrySabato: Donald Trump richly deserves his distinction as the only President ever impeached twice. It’s a message to future generati…,"Vila Nova de Gaia, Portugal","Vila Nova de Gaia, Porto, Área Metropolitana do Porto, Norte, Portugal",41.1300103,-8.6058415
47123,"Pat Fallon is clutching @ straws

#ImpeachmentDay #Impeachment #ImpeachTrump #ImpeachmentVote","Glasgow, Scotland. C-53","Glasgow, Glasgow City, Scotland, G2 9SN, United Kingdom",55.8609825,-4.2488787
8474,"Vote was 232-197. He's impeached.

#ImpeachmentDay #ImpeachTrump 

https://t.co/JU88uQ95Rv","Gatineau, Quebec, Canada","Gatineau, Outaouais, Québec, Canada",45.4841214,-75.6813728
100746,RT @DeanObeidallah: Im so disgusted watching the GOP defend Trump's insurrection - I imagine this is what it looked like in 1861 when Confe…,"Portland, OR USA","Portland, Metro, Multnomah County, Oregon, United States",45.5202471,-122.6741949
107689,"RT @Strandjunker: 0 Friends
0 Dogs
1 Terrorist Mob Attack
2 Impeachments
3 Wives
6 Bankruptcies
6 Deferments
68 Assaults on Women
358 Golf…",westcoast,"WESTCOAST, 26, 二十四軒手稲通, 二十四軒2条4, 西区, 札幌市, 石狩振興局, 北海道, 063-0802, 日本",43.07214395,141.31362835540455
